akawul daka,akawul,
aldo sueldo,payday,
alimu,alimu,
alimum,petrichor,
antimong,antimong,
artipicial,artifical,
atsu,atsu,
bagkat,nougat,
bakulau,chimpanzee,
baluarti,bailiwick,
bangi,bangi,
barandillas,ballustrade,
barandillas,guardrail,
bengatibo,vengeful,
bengatibo,bengati,
beranda,veranda,
beutaiful,beutaiful,
bublag,brobtigas,
bukilia,mouthpiece,
catalago,catalog,
ditsuanan verb: ditsu,jujitsu,
dramaturgo,playwright,
fikoqe,hskhlbqbftagdpyptsy,
gareta,oxcart,
"gasgas, megasgas",abrasion,
gladiola,gladiolus,
granada,pomegranate,
grktns,rybsstrdum,
"gubat, kakewan",rainforest,
guitarista,guitarist,
gunut,gunut,
guyabnan,handrail,
"impisa, kapuprumeruan",begginning,
ispagueti,spaghetti,
kabanglu,kabanglu,
kablas,backfire,
kakialung,playmate,
kalingwan,kalingwan,
kalsador,shoehorn,
kantidad (an amount),quanlity,
karakal,karakal,
kashif,kashif,
katsup,ketchup,
"kemiento, samiento, samientuan",cemet,
kentimos,centave,
kerida,concubine,
kiriling,tintinnabulation,
komision,commision,
konstablario,constabulary,
kuliawan,oriole,
kunal,pockmark,
lagwa,lagwa,
lakal,pad,
lalam danum,underwater,
laparis,runover,
lasetas,jackknife,
libreta,bankbook,
libreta,passbook,
lipunga,trenchfoot,
lovebird,lovebird,
mablas,retailiate,
maduluk,smolder,
magatal,magatal,
magpenitencia,flagellant,
"maina.. lub, talakalunus",softhearted,
makakalale,carefull,
makapangaklingan,earsplitting,
makatumbo,bulding,
"malpa, kulembut",weakling,
malutub,fledgling,
mamiblas,mamiblas,
"manabu, mibagsak",flunk,
manbibilay,manbibilae,
memalintusan,memalintusan,
memusitara,memusitara,
meninap,dreamt,
migkamali,mistaken,
milayu,milayu,
milibe,swap,
momma,mimwa,
murit,lunatic,
myung,zoom,
nacha,nichole,
nunganunga,noonga,
obligan,obligate,
pabanwa,pabanwa,
paglokwan,paglokwan,
"pakapata, pakatudtud",anesthetic,
palipitan,tweak,
pamitabnu,constact,
panagkasan,panagkasan,
panyabayan,panyabayan,
panyabbyanan,panyabbyanan,
patus,horseshoe,
paunacan,neice/nephew,
pisuk,clubfoot,
piteterakan,ballroom,
pucut,fishnet,
purita,purita,
purupot,purupot,
pusad,bellybutton,
qgeyh,rybsstrdum,
rehabilitasyun,rehabilitation,
salimpara,ricochet,
samientuan,solidify,
sandirit,pinwheel,
semestro,semester,
sigui,zoom,
sikuat,uppercut,
"sim, yeru, iero",shingle,
subling mie,resurrect,
suli,offshoot,
takdiyapo,taksiyapo,
teknisa,technique,
trambia,streetcar,
trambia,tram,
"trisyunan, pagtraidulan",doublecross,
umbaw,umbaw,
venue,venue,
yamu,yamu,
